building_count,divipola,source,name,department,total_rooftop_sqm,mean_area_sqm,min_confidence_used,computed_at,median_area_sqm
8287,76275,microsoft,FLORIDA,VALLE DEL CAUCA,1625365.73,196.13,,2026-05-24T02:58:48+00:00,100.69
7303,18756,microsoft,SOLANO,CAQUETÁ,828041.65,113.38,,2026-05-24T02:58:48+00:00,75.59
2036,70230,microsoft,CHALÁN,SUCRE,161706.62,79.42,,2026-05-24T02:58:48+00:00,64.24
1426,52390,microsoft,LA TOLA,NARIÑO,150928.05,105.84,,2026-05-24T02:58:48+00:00,84.22
9412,05790,microsoft,TARAZÁ,ANTIOQUIA,940202.92,99.89,,2026-05-24T02:58:48+00:00,66.48
5334,27006,microsoft,ACANDÍ,CHOCÓ,516042.24,96.75,,2026-05-24T02:58:48+00:00,69.73
16869,73168,microsoft,CHAPARRAL,TOLIMA,1975867.43,117.13,,2026-05-24T02:58:48+00:00,75.15
14811,19780,google,SUÁREZ,CAUCA,915793.28,61.83,,2026-05-24T02:58:48+00:00,48.04
14965,05250,google,EL BAGRE,ANTIOQUIA,1339220.95,89.49,,2026-05-24T02:58:48+00:00,68.4
2492,52427,google,MAGÜI,NARIÑO,230539.46,92.51,,2026-05-24T02:58:48+00:00,77.8
57994,18001,google,FLORENCIA,CAQUETÁ,7354379.22,126.81,,2026-05-24T02:58:48+00:00,84.03
23622,44279,google,FONSECA,LA GUAJIRA,1706162.14,72.23,,2026-05-24T02:58:48+00:00,51.91
21633,47189,google,CIÉNAGA,MAGDALENA,1590488.51,73.52,,2026-05-24T02:58:48+00:00,49.62
5981,19809,google,TIMBIQUÍ,CAUCA,451813.29,75.54,,2026-05-24T02:58:48+00:00,62.22
315,27425,google,MEDIO ATRATO,CHOCÓ,19523.83,61.98,,2026-05-24T02:58:48+00:00,43.9
6631,50577,google,PUERTO LLERAS,META,580088.32,87.48,,2026-05-24T02:58:48+00:00,55.41
8144,18410,google,LA MONTAÑITA,CAQUETÁ,819437.52,100.62,,2026-05-24T02:58:48+00:00,70.44
425,27205,google,CONDOTO,CHOCÓ,33118.68,77.93,,2026-05-24T02:58:48+00:00,60.08
5380,27800,google,UNGUÍA,CHOCÓ,451488.71,83.92,,2026-05-24T02:58:48+00:00,64.04
1462,52696,google,SANTA BÁRBARA,NARIÑO,101224.51,69.24,,2026-05-24T02:58:48+00:00,59.56
8558,54245,google,EL CARMEN,NORTE DE SANTANDER,653185.27,76.32,,2026-05-24T02:58:48+00:00,55.1
30083,23466,google,MONTELÍBANO,CÓRDOBA,2657595.32,88.34,,2026-05-24T02:58:48+00:00,64.71
35728,81794,google,TAME,ARAUCA,3183273.4,89.1,,2026-05-24T02:58:48+00:00,61.71
3242,18785,google,SOLITA,CAQUETÁ,333711.08,102.93,,2026-05-24T02:58:48+00:00,72.02
18594,47053,google,ARACATACA,MAGDALENA,1593883.35,85.72,,2026-05-24T02:58:48+00:00,60.39
23314,86001,google,MOCOA,PUTUMAYO,2289288.7,98.19,,2026-05-24T02:58:48+00:00,66.76
5794,50330,google,MESETAS,META,539266.19,93.07,,2026-05-24T02:58:48+00:00,62.47
